X,Y,Z
-2, -3, 59
-2, -3, 58
-2, -4, 58
-2, -4, 57
-2, -4, 57
-2, -4, 56
-2, -4, 56
-2, -4, 55
-2, -4, 54
-2, -4, 54
-2, -4, 53
-3, -4, 53
-3, -4, 52
-3, -4, 52
-3, -5, 51
-3, -5, 51
-3, -5, 50
-3, -5, 49
-3, -5, 49
-3, -5, 48
-3, -5, 48
-3, -6, 47
-3, -6, 47
-3, -6, 47
-4, -6, 46
-4, -6, 46
-4, -6, 45
-4, -7, 45
-4, -7, 44
-4, -7, 44
-4, -7, 43
-4, -7, 43
-4, -8, 42
-5, -8, 42
-5, -8, 42
-5, -8, 41
-5, -9, 41
-5, -9, 40
-5, -9, 40
-5, -10, 40
-6, -10, 39
-6, -10, 39
-6, -10, 39
-6, -11, 38
-6, -11, 38
-6, -12, 38
-7, -12, 37
-7, -12, 37
-7, -13, 37
-7, -13, 36
-8, -14, 36
-8, -14, 36
-8, -15, 35
-8, -15, 35
-9, -16, 35
-9, -16, 35
-9, -17, 34
-9, -17, 34
-10, -18, 34
-10, -19, 34
-10, -19, 34
-11, -20, 33
-11, -21, 33
-11, -21, 33
-12, -22, 33
-12, -23, 33
-13, -24, 33
-13, -25, 33
-14, -25, 33
-14, -26, 33
-14, -27, 33
-15, -28, 33
-15, -29, 33
-16, -30, 33
-17, -31, 33
-17, -32, 33
-18, -34, 33
-18, -35, 33
-19, -36, 34
-20, -37, 34
-20, -39, 34
-21, -40, 35
-22, -41, 35
-23, -43, 35
-23, -44, 36
-24, -46, 37
-25, -47, 37
-26, -49, 38
-27, -51, 39
-28, -52, 40
-29, -54, 41
-30, -56, 42
-31, -57, 43
-32, -59, 44
-33, -61, 45
-34, -63, 47
-35, -65, 48
-36, -67, 50
-37, -69, 52
-39, -70, 54
-40, -72, 56
-41, -74, 58
-42, -76, 60
-44, -78, 63
-45, -80, 65
-46, -81, 68
-48, -83, 71
-49, -84, 74
-51, -86, 77
-52, -87, 81
-53, -88, 84
