X,Y,Z
39, -20, 162
36, -21, 159
34, -23, 157
32, -25, 154
30, -26, 152
27, -27, 150
25, -28, 147
23, -29, 145
21, -29, 143
19, -30, 141
17, -30, 139
15, -31, 137
14, -31, 135
12, -31, 133
10, -31, 131
9, -31, 130
7, -31, 128
6, -31, 126
4, -31, 125
3, -31, 123
1, -31, 122
0, -31, 121
-1, -31, 119
-2, -31, 118
-3, -31, 117
-4, -31, 116
-5, -30, 115
-6, -30, 114
-7, -30, 113
-8, -30, 112
-9, -30, 111
-10, -30, 110
-11, -30, 109
-11, -30, 108
-12, -30, 107
-13, -30, 107
-14, -29, 106
-14, -29, 105
-15, -29, 104
-15, -29, 104
-16, -29, 103
-16, -29, 102
-17, -29, 102
-17, -29, 101
-18, -30, 101
-18, -30, 100
-19, -30, 99
-19, -30, 99
-20, -30, 98
-20, -30, 98
-20, -30, 97
-21, -30, 97
-21, -30, 97
-21, -31, 96
-22, -31, 96
-22, -31, 95
-23, -31, 95
-23, -32, 95
-23, -32, 94
-24, -32, 94
-24, -32, 94
-24, -33, 94
-25, -33, 93
-25, -33, 93
-25, -33, 93
-26, -34, 93
-26, -34, 93
-26, -34, 92
-26, -35, 92
-27, -35, 92
-27, -36, 92
-27, -36, 92
-28, -36, 92
-28, -37, 92
-28, -37, 92
-29, -37, 92
-29, -38, 92
-29, -38, 92
-30, -39, 92
-30, -39, 92
-30, -39, 93
-31, -40, 93
-31, -40, 93
-32, -41, 93
-32, -41, 93
-32, -41, 94
-33, -42, 94
-33, -42, 94
-33, -43, 95
-34, -43, 95
-34, -43, 95
-34, -44, 96
-35, -44, 96
-35, -44, 97
-35, -45, 97
-36, -45, 98
-36, -45, 98
-37, -46, 99
-37, -46, 99
-37, -46, 100
-38, -46, 100
-38, -47, 101
-38, -47, 102
-39, -47, 102
-39, -47, 103
-39, -47, 104
-40, -47, 104
-40, -47, 105
-40, -48, 106
-40, -48, 106
-41, -48, 107
-41, -48, 108
-41, -48, 109
-42, -47, 109
-42, -47, 110
-42, -47, 111
-42, -47, 112
-42, -47, 112
-43, -47, 113
-43, -46, 114
-43, -46, 114
-43, -46, 115
-43, -46, 116
-43, -45, 116
-43, -45, 117
-43, -44, 118
-43, -44, 118
-43, -44, 119
-43, -43, 119
-43, -43, 120
-43, -42, 121
-43, -42, 121
-43, -41, 121
-43, -40, 122
-43, -40, 122
-43, -39, 123
-43, -39, 123
-43, -38, 123
-42, -37, 123
-42, -37, 124
-42, -36, 124
-42, -35, 124
-42, -35, 124
-41, -34, 124
-41, -33, 124
-41, -33, 124
-40, -32, 124
-40, -32, 124
-40, -31, 124
-39, -30, 124
-39, -30, 124
-39, -29, 124
-38, -29, 123
-38, -28, 123
-38, -28, 123
-37, -27, 123
-37, -27, 122
-36, -26, 122
-36, -26, 121
-36, -25, 121
-35, -25, 121
-35, -24, 120
-34, -24, 120
-34, -24, 119
-34, -23, 119
-33, -23, 118
-33, -23, 118
-32, -22, 117
-32, -22, 117
-32, -22, 116
-31, -22, 116
-31, -21, 115
-30, -21, 114
-30, -21, 114
-30, -21, 113
-29, -21, 113
-29, -21, 112
-29, -21, 111
-28, -21, 111
-28, -20, 110
-28, -20, 110
-28, -20, 109
-27, -20, 108
-27, -20, 108
-27, -20, 107
-26, -20, 106
-26, -21, 106
-26, -21, 105
-26, -21, 105
-26, -21, 104
-25, -21, 103
-25, -21, 103
-25, -21, 102
-25, -21, 102
-25, -21, 101
-25, -22, 101
-25, -22, 100
-24, -22, 99
-24, -22, 99
-24, -22, 98
-24, -23, 98
-24, -23, 97
-24, -23, 97
-24, -23, 96
-24, -23, 96
-24, -24, 95
-24, -24, 95
-24, -24, 94
-24, -25, 94
-24, -25, 94
-24, -25, 93
-24, -26, 93
-24, -26, 92
-24, -26, 92
-24, -27, 92
-24, -27, 91
-24, -27, 91
-25, -28, 91
-25, -28, 90
-25, -28, 90
-25, -29, 90
-25, -29, 89
-25, -30, 89
-25, -30, 89
-26, -31, 89
-26, -31, 89
-26, -31, 88
-26, -32, 88
-26, -32, 88
-27, -33, 88
-27, -33, 88
-27, -34, 88
-27, -34, 88
-28, -35, 88
-28, -35, 88
-28, -36, 88
-29, -36, 88
-29, -37, 88
-29, -37, 88
-29, -38, 88
-30, -38, 88
-30, -39, 88
-30, -39, 89
-31, -40, 89
-31, -40, 89
-32, -41, 89
-32, -41, 90
-32, -42, 90
-33, -42, 90
-33, -43, 91
-33, -43, 91
-34, -44, 91
-34, -44, 92
-35, -45, 92
-35, -45, 93
-35, -46, 93
-36, -46, 94
-36, -47, 95
-37, -47, 95
-37, -48, 96
-37, -48, 97
-38, -48, 97
-38, -49, 98
-39, -49, 99
-39, -49, 99
-39, -49, 100
-40, -50, 101
-40, -50, 102
-41, -50, 103
-41, -50, 104
-41, -50, 105
-42, -50, 105
-42, -50, 106
-42, -50, 107
-43, -50, 108
-43, -50, 109
-43, -50, 110
-44, -50, 111
-44, -50, 112
-44, -50, 113
-44, -50, 114
-44, -49, 115
-45, -49, 115
-45, -49, 116
-45, -48, 117
-45, -48, 118
-45, -47, 119
-45, -47, 120
-45, -46, 120
-45, -46, 121
-45, -45, 122
-45, -44, 123
-45, -44, 123
-45, -43, 124
-45, -42, 124
-45, -42, 125
-45, -41, 125
-45, -40, 126
-45, -39, 126
-44, -39, 127
-44, -38, 127
-44, -37, 127
-44, -36, 127
-43, -35, 128
-43, -35, 128
-43, -34, 128
-42, -33, 128
-42, -32, 128
-42, -31, 128
-41, -31, 128
-41, -30, 128
-40, -29, 127
-40, -28, 127
-39, -28, 127
-39, -27, 127
-39, -26, 126
-38, -26, 126
-38, -25, 125
-37, -24, 125
-37, -24, 125
-36, -23, 124
-36, -23, 124
-35, -22, 123
-35, -22, 123
-34, -21, 122
-34, -21, 121
-33, -20, 121
-33, -20, 120
-32, -20, 119
-32, -19, 119
-31, -19, 118
-31, -19, 117
-30, -19, 117
-30, -18, 116
-29, -18, 115
-29, -18, 115
-28, -18, 114
-28, -18, 113
-28, -18, 113
-27, -18, 112
-27, -17, 111
-27, -17, 110
-26, -17, 110
-26, -17, 109
-25, -17, 108
-25, -17, 107
-25, -17, 107
-25, -17, 106
-24, -17, 105
-24, -18, 105
-24, -18, 104
-24, -18, 103
-23, -18, 103
-23, -18, 102
-23, -18, 101
-23, -18, 100
-23, -18, 100
-22, -19, 99
-22, -19, 99
-22, -19, 98
-22, -19, 97
-22, -20, 97
-22, -20, 96
-22, -20, 95
-22, -20, 95
-22, -21, 94
-22, -21, 94
-22, -21, 93
-21, -21, 93
-21, -22, 92
-21, -22, 91
-22, -22, 91
-22, -23, 90
-22, -23, 90
-22, -23, 89
-22, -24, 89
-22, -24, 89
-22, -24, 88
-22, -25, 88
-22, -25, 87
-22, -26, 87
-22, -26, 87
-23, -27, 86
-23, -27, 86
-23, -27, 85
-23, -28, 85
-23, -28, 85
-23, -29, 85
-24, -29, 84
-24, -30, 84
-24, -30, 84
-24, -31, 84
-25, -31, 84
-25, -32, 83
-25, -33, 83
-25, -33, 83
-26, -34, 83
-26, -34, 83
-26, -35, 83
-27, -35, 83
-27, -36, 83
-27, -37, 83
-28, -37, 83
-28, -38, 83
-28, -38, 83
-29, -39, 84
-29, -40, 84
-30, -40, 84
-30, -41, 84
-30, -42, 84
-31, -42, 85
-31, -43, 85
-32, -43, 86
-32, -44, 86
-33, -45, 86
-33, -45, 87
-34, -46, 87
-34, -46, 88
-35, -47, 89
-35, -48, 89
-36, -48, 90
-36, -49, 91
-37, -49, 91
-37, -50, 92
-38, -50, 93
-38, -51, 94
-39, -51, 95
-39, -52, 95
-40, -52, 96
-40, -52, 97
-41, -53, 98
-41, -53, 99
-41, -53, 100
-42, -54, 101
-42, -54, 103
-43, -54, 104
-43, -54, 105
-44, -54, 106
-44, -54, 107
-45, -54, 108
-45, -54, 109
-45, -54, 111
-46, -54, 112
-46, -54, 113
-46, -53, 114
-47, -53, 115
-47, -53, 116
-47, -52, 118
-47, -52, 119
-47, -51, 120
-48, -51, 121
-48, -50, 122
-48, -49, 123
-48, -49, 124
-48, -48, 125
-48, -47, 126
-48, -46, 127
-48, -45, 127
-48, -44, 128
-48, -44, 129
-47, -43, 129
-47, -42, 130
-47, -41, 130
-47, -40, 131
-46, -39, 131
-46, -37, 132
-46, -36, 132
-45, -35, 132
-45, -34, 132
-45, -33, 132
-44, -32, 132
-44, -31, 132
-43, -30, 132
-43, -29, 132
-42, -28, 132
-42, -27, 132
-41, -26, 131
-41, -26, 131
-40, -25, 131
-39, -24, 130
-39, -23, 130
-38, -22, 129
-38, -22, 129
-37, -21, 128
-36, -20, 128
-36, -20, 127
-35, -19, 126
-34, -18, 125
-34, -18, 125
-33, -17, 124
-33, -17, 123
-32, -16, 123
-31, -16, 122
-31, -16, 121
-30, -15, 120
-30, -15, 119
-29, -15, 118
-28, -15, 118
-28, -14, 117
-27, -14, 116
-27, -14, 115
-26, -14, 114
-26, -14, 113
-25, -14, 112
-25, -14, 112
-24, -13, 111
-24, -13, 110
-24, -13, 109
-23, -13, 108
-23, -13, 107
-22, -13, 106
-22, -14, 106
-22, -14, 105
-21, -14, 104
-21, -14, 103
-21, -14, 102
-21, -14, 102
-20, -14, 101
-20, -14, 100
-20, -15, 99
-20, -15, 98
-19, -15, 98
-19, -15, 97
-19, -15, 96
-19, -16, 95
-19, -16, 95
-19, -16, 94
-19, -16, 93
-19, -16, 93
-18, -17, 92
-18, -17, 91
-18, -17, 91
-18, -18, 90
-18, -18, 89
-18, -18, 89
-18, -19, 88
-18, -19, 87
-18, -19, 87
-18, -20, 86
-18, -20, 86
-18, -20, 85
-19, -21, 85
-19, -21, 84
-19, -22, 83
-19, -22, 83
-19, -22, 82
-19, -23, 82
-19, -23, 82
-19, -24, 81
-20, -24, 81
-20, -25, 80
-20, -25, 80
-20, -26, 80
-20, -26, 79
-21, -27, 79
-21, -27, 79
-21, -28, 78
-21, -28, 78
-22, -29, 78
-22, -30, 78
-22, -30, 77
-22, -31, 77
-23, -31, 77
-23, -32, 77
-23, -33, 77
-24, -33, 77
-24, -34, 77
-25, -35, 77
-25, -35, 77
-25, -36, 77
-26, -37, 77
-26, -37, 77
-27, -38, 77
-27, -39, 77
-28, -40, 77
-28, -40, 77
-29, -41, 78
-29, -42, 78
-30, -43, 78
-30, -43, 79
-31, -44, 79
-31, -45, 80
-32, -46, 80
-32, -47, 81
-33, -47, 81
-33, -48, 82
-34, -49, 82
-35, -50, 83
-35, -50, 84
-36, -51, 85
-36, -52, 86
-37, -53, 87
-38, -53, 87
-38, -54, 88
-39, -55, 90
-39, -55, 91
-40, -56, 92
-41, -56, 93
-41, -57, 94
-42, -57, 95
-42, -58, 97
-43, -58, 98
-44, -58, 99
-44, -59, 101
-45, -59, 102
-45, -59, 104
-46, -59, 105
-46, -59, 107
-47, -59, 108
-47, -59, 110
-48, -59, 111
-48, -59, 113
-49, -59, 114
-49, -58, 116
-49, -58, 117
-50, -57, 119
-50, -57, 120
-50, -56, 122
-51, -55, 123
-51, -55, 125
-51, -54, 126
-51, -53, 127
-51, -52, 129
-51, -51, 130
-51, -50, 131
-51, -48, 132
-51, -47, 133
-51, -46, 134
-51, -45, 135
-50, -43, 135
-50, -42, 136
-50, -41, 137
-49, -39, 137
-49, -38, 138
-49, -37, 138
-48, -35, 138
-48, -34, 138
-47, -33, 138
-47, -31, 138
-46, -30, 138
-45, -29, 138
-45, -27, 138
-44, -26, 138
-43, -25, 137
-43, -24, 137
-42, -22, 137
-41, -21, 136
-40, -20, 135
-40, -19, 135
-39, -18, 134
-38, -17, 133
-37, -17, 133
-36, -16, 132
-36, -15, 131
-35, -14, 130
-34, -14, 129
-33, -13, 128
-32, -12, 127
-32, -12, 126
-31, -11, 125
-30, -11, 124
-29, -11, 123
-29, -10, 122
-28, -10, 121
-27, -10, 120
-26, -9, 119
-26, -9, 118
-25, -9, 117
-24, -9, 116
-24, -9, 115
-23, -8, 114
-23, -8, 113
-22, -8, 112
-22, -8, 111
-21, -8, 110
-21, -8, 109
-20, -8, 108
-20, -8, 107
-19, -8, 106
-19, -8, 105
-18, -8, 104
-18, -9, 103
-18, -9, 102
-17, -9, 101
-17, -9, 100
-17, -9, 100
-16, -9, 99
-16, -9, 98
-16, -10, 97
-16, -10, 96
-15, -10, 95
-15, -10, 94
-15, -10, 93
-15, -11, 93
-15, -11, 92
-14, -11, 91
-14, -11, 90
-14, -11, 89
-14, -12, 88
-14, -12, 88
-14, -12, 87
-14, -13, 86
-14, -13, 85
-14, -13, 85
-14, -13, 84
-14, -14, 83
-14, -14, 83
-14, -14, 82
-14, -15, 81
-14, -15, 81
-14, -15, 80
-14, -16, 79
-14, -16, 79
-14, -16, 78
-14, -17, 77
-14, -17, 77
-14, -18, 76
-14, -18, 76
-15, -18, 75
-15, -19, 75
-15, -19, 74
-15, -20, 73
-15, -20, 73
-15, -21, 73
-16, -21, 72
-16, -22, 72
-16, -22, 71
-16, -23, 71
-17, -23, 70
-17, -24, 70
-17, -24, 70
-17, -25, 69
-18, -26, 69
-18, -26, 69
-18, -27, 68
-19, -28, 68
-19, -28, 68
-19, -29, 68
-20, -30, 67
-20, -30, 67
-21, -31, 67
-21, -32, 67
-21, -33, 67
-22, -33, 67
-22, -34, 67
-23, -35, 67
-23, -36, 67
-24, -37, 67
-24, -37, 67
-25, -38, 67
-25, -39, 68
-26, -40, 68
-26, -41, 68
-27, -42, 68
-28, -43, 69
-28, -44, 69
-29, -45, 70
-29, -46, 70
-30, -47, 71
-31, -48, 71
-31, -49, 72
-32, -50, 72
-33, -51, 73
-33, -52, 74
-34, -53, 75
-35, -54, 76
-36, -55, 77
-36, -56, 78
-37, -57, 79
-38, -58, 80
-39, -59, 81
-39, -60, 83
-40, -60, 84
-41, -61, 86
-42, -62, 87
-43, -63, 89
-43, -63, 90
-44, -64, 92
-45, -65, 94
-46, -65, 96
-46, -66, 97
-47, -66, 99
-48, -66, 101
-49, -67, 103
-49, -67, 105
-50, -67, 107
-51, -67, 109
-51, -67, 112
-52, -66, 114
-52, -66, 116
-53, -65, 118
-54, -65, 120
-54, -64, 122
-54, -63, 124
-55, -62, 126
-55, -61, 128
-55, -60, 130
-55, -59, 132
-56, -58, 134
-56, -56, 135
-56, -55, 137
-56, -53, 138
-56, -52, 140
-55, -50, 141
-55, -48, 142
-55, -46, 143
-55, -44, 144
-54, -43, 145
-54, -41, 146
-53, -39, 146
-53, -37, 147
-52, -35, 147
-51, -33, 147
-51, -31, 147
-50, -29, 147
-49, -27, 147
-48, -25, 147
-47, -24, 146
-46, -22, 146
-45, -20, 145
-44, -19, 145
-43, -17, 144
-42, -16, 143
-41, -15, 142
-40, -13, 141
-39, -12, 140
-38, -11, 139
-37, -10, 138
-36, -9, 137
-35, -8, 136
-34, -7, 135
-33, -6, 134
-32, -6, 133
-31, -5, 131
-30, -4, 130
-29, -4, 129
-28, -3, 128
-27, -3, 126
-26, -2, 125
-25, -2, 124
-24, -2, 122
-23, -2, 121
-22, -1, 120
-22, -1, 119
-21, -1, 118
-20, -1, 116
-19, -1, 115
-19, -1, 114
-18, -1, 113
-17, -1, 112
-17, -1, 110
-16, -1, 109
-15, -1, 108
-15, -1, 107
-14, -1, 106
-14, -1, 105
-13, -1, 104
-13, -1, 103
-12, -1, 101
-12, -1, 100
-11, -1, 99
-11, -1, 98
-11, -2, 97
-10, -2, 96
-10, -2, 95
-10, -2, 94
-9, -2, 93
-9, -2, 92
-9, -2, 91
-9, -3, 91
-8, -3, 90
-8, -3, 89
-8, -3, 88
-8, -3, 87
-8, -3, 86
-7, -4, 85
-7, -4, 84
-7, -4, 83
-7, -4, 82
-7, -4, 82
-7, -4, 81
-7, -5, 80
-7, -5, 79
-7, -5, 78
-6, -5, 78
-6, -5, 77
-6, -6, 76
-6, -6, 75
-6, -6, 74
-6, -6, 74
-6, -6, 73
-6, -6, 72
-6, -7, 72
-6, -7, 71
-6, -7, 70
-6, -7, 69
-6, -7, 69
-6, -8, 68
-6, -8, 67
-7, -8, 67
-7, -8, 66
-7, -9, 65
-7, -9, 65
-7, -9, 64
-7, -9, 64
-7, -10, 63
-7, -10, 62
-7, -10, 62
-7, -10, 61
-7, -11, 61
-8, -11, 60
-8, -11, 59
-8, -12, 59
-8, -12, 58
-8, -12, 58
-8, -13, 57
-9, -13, 57
-9, -14, 56
-9, -14, 56
-9, -14, 55
-9, -15, 55
-10, -15, 54
-10, -16, 54
-10, -16, 54
-10, -17, 53
-10, -17, 53
-11, -18, 52
-11, -18, 52
-11, -19, 52
-12, -19, 51
-12, -20, 51
-12, -20, 51
-12, -21, 50
-13, -22, 50
-13, -22, 50
-13, -23, 49
-14, -24, 49
-14, -24, 49
-15, -25, 49
-15, -26, 49
-15, -27, 48
-16, -27, 48
-16, -28, 48
-17, -29, 48
-17, -30, 48
-18, -31, 48
-18, -32, 48
-19, -33, 48
-19, -34, 48
-20, -35, 48
-21, -36, 48
-21, -37, 49
-22, -38, 49
-22, -39, 49
-23, -41, 49
-24, -42, 50
-24, -43, 50
-25, -44, 51
-26, -46, 51
-27, -47, 52
-28, -48, 52
-28, -50, 53
-29, -51, 54
-30, -52, 55
-31, -54, 56
-32, -55, 57
-33, -57, 58
-34, -58, 59
-35, -60, 60
-36, -61, 62
-37, -63, 63
-38, -64, 65
-39, -66, 66
-40, -67, 68
-41, -68, 70
-42, -70, 72
-43, -71, 74
-44, -72, 76
-45, -74, 78
-46, -75, 81
-47, -76, 83
-49, -77, 86
-50, -78, 88
-51, -79, 91
-52, -79, 94
-53, -80, 97
-54, -80, 100
-55, -81, 103
-56, -81, 106
-57, -81, 110
-58, -81, 113
-59, -80, 116
-60, -80, 119
-60, -79, 123
-61, -78, 126
-62, -77, 129
-62, -75, 133
-63, -74, 136
-63, -72, 139
-64, -70, 142
-64, -68, 144
-64, -66, 147
-64, -63, 150
-64, -61, 152
-64, -58, 154
-64, -55, 156
-63, -52, 158
-63, -49, 159
-62, -46, 161
-62, -43, 162
-61, -40, 163
-60, -36, 163
-59, -33, 163
-58, -30, 164
-57, -27, 164
-56, -24, 163
-55, -21, 163
-53, -18, 162
-52, -16, 162
-51, -13, 161
-49, -11, 160
-48, -8, 158
-46, -6, 157
-45, -4, 156
-43, -2, 154
-41, 0, 153
-40, 1, 151
-38, 3, 149
-37, 4, 148
-35, 5, 146
-33, 7, 144
-32, 8, 143
-30, 8, 141
-29, 9, 139
-27, 10, 137
-26, 11, 136
-24, 11, 134
-23, 12, 132
-22, 12, 131
-20, 12, 129
-19, 13, 127
-18, 13, 126
-17, 13, 124
-15, 13, 123
-14, 13, 121
-13, 14, 120
-12, 14, 118
-11, 14, 117
-10, 14, 116
-9, 14, 114
-8, 14, 113
-8, 14, 112
-7, 13, 110
-6, 13, 109
-5, 13, 108
-4, 13, 107
-4, 13, 106
-3, 13, 104
-2, 13, 103
-2, 13, 102
-1, 13, 101
-1, 13, 100
0, 13, 99
0, 13, 98
1, 13, 97
1, 13, 96
2, 13, 95
2, 13, 94
3, 13, 93
3, 13, 92
3, 13, 91
4, 13, 90
4, 13, 89
4, 13, 89
5, 13, 88
5, 13, 87
5, 13, 86
6, 13, 85
6, 13, 84
6, 13, 84
6, 13, 83
7, 14, 82
7, 14, 81
7, 14, 81
8, 14, 80
8, 14, 79
8, 14, 78
8, 15, 78
9, 15, 77
9, 15, 76
9, 15, 76
9, 16, 75
10, 16, 74
10, 16, 74
10, 17, 73
10, 17, 73
11, 17, 72
11, 18, 71
11, 18, 71
11, 18, 70
12, 19, 70
12, 19, 69
12, 20, 69
12, 20, 68
13, 21, 68
13, 21, 67
13, 21, 67
14, 22, 67
14, 23, 66
14, 23, 66
15, 24, 65
15, 24, 65
15, 25, 65
16, 25, 65
16, 26, 64
17, 27, 64
17, 27, 64
17, 28, 64
18, 29, 63
18, 30, 63
19, 30, 63
19, 31, 63
20, 32, 63
20, 33, 63
21, 34, 63
21, 35, 63
22, 35, 63
22, 36, 63
23, 37, 63
23, 38, 64
24, 39, 64
24, 40, 64
25, 41, 64
26, 42, 65
26, 43, 65
27, 44, 66
28, 45, 66
28, 46, 67
29, 47, 67
30, 48, 68
30, 50, 69
31, 51, 70
32, 52, 70
33, 53, 71
34, 54, 72
34, 55, 73
35, 56, 74
36, 57, 76
37, 58, 77
38, 59, 78
38, 60, 80
39, 61, 81
40, 62, 83
41, 63, 84
42, 64, 86
43, 65, 88
44, 65, 90
44, 66, 92
45, 67, 94
46, 67, 96
47, 68, 98
48, 68, 100
49, 68, 102
49, 69, 104
50, 69, 106
51, 69, 109
52, 69, 111
52, 68, 113
53, 68, 116
53, 67, 118
54, 67, 121
54, 66, 123
55, 65, 125
55, 64, 127
56, 63, 130
56, 62, 132
56, 61, 134
56, 59, 136
56, 57, 138
57, 56, 139
56, 54, 141
56, 52, 143
56, 50, 144
56, 48, 145
56, 46, 147
55, 44, 148
55, 42, 148
54, 40, 149
54, 38, 150
53, 35, 150
52, 33, 151
52, 31, 151
51, 29, 151
50, 27, 151
49, 25, 150
48, 23, 150
47, 21, 150
46, 19, 149
45, 17, 148
44, 16, 148
43, 14, 147
42, 12, 146
41, 11, 145
39, 9, 144
38, 8, 143
37, 7, 142
36, 6, 140
35, 5, 139
34, 4, 138
32, 3, 137
31, 2, 135
30, 1, 134
29, 1, 133
28, 0, 131
27, 0, 130
26, -1, 128
25, -1, 127
24, -2, 126
23, -2, 124
22, -2, 123
21, -3, 122
20, -3, 120
19, -3, 119
18, -3, 118
17, -3, 117
16, -3, 115
16, -3, 114
15, -3, 113
14, -3, 112
14, -3, 110
13, -3, 109
12, -3, 108
12, -3, 107
11, -3, 106
10, -3, 105
10, -3, 103
9, -3, 102
9, -3, 101
9, -3, 100
8, -3, 99
8, -3, 98
7, -2, 97
7, -2, 96
7, -2, 95
6, -2, 94
6, -2, 93
6, -2, 92
5, -2, 91
5, -2, 90
5, -1, 89
4, -1, 88
4, -1, 87
4, -1, 86
4, -1, 85
4, -1, 84
3, -1, 84
3, -1, 83
3, -1, 82
3, 0, 81
3, 0, 80
3, 0, 79
3, 0, 78
3, 0, 78
2, 0, 77
2, 0, 76
2, 0, 75
2, 0, 74
2, 0, 74
2, 1, 73
2, 1, 72
2, 1, 71
2, 1, 71
2, 1, 70
2, 1, 69
2, 1, 68
2, 1, 68
2, 1, 67
2, 1, 66
2, 1, 66
2, 2, 65
2, 2, 64
2, 2, 64
2, 2, 63
2, 2, 62
2, 2, 62
2, 2, 61
2, 2, 60
2, 2, 60
2, 2, 59
2, 2, 58
2, 3, 58
2, 3, 57
2, 3, 57
2, 3, 56
2, 3, 56
2, 3, 55
2, 3, 54
2, 3, 54
2, 4, 53
2, 4, 53
2, 4, 52
2, 4, 52
2, 4, 51
2, 4, 51
2, 4, 50
3, 5, 50
3, 5, 49
3, 5, 49
3, 5, 48
3, 5, 48
3, 5, 47
3, 6, 47
3, 6, 46
3, 6, 46
3, 6, 45
3, 6, 45
4, 7, 44
4, 7, 44
4, 7, 43
4, 7, 43
4, 8, 43
4, 8, 42
4, 8, 42
5, 9, 41
5, 9, 41
5, 9, 41
5, 10, 40
5, 10, 40
5, 10, 39
6, 11, 39
6, 11, 39
6, 11, 38
6, 12, 38
6, 12, 38
7, 13, 37
7, 13, 37
7, 14, 37
7, 14, 37
8, 15, 36
8, 15, 36
8, 16, 36
9, 16, 36
9, 17, 35
9, 18, 35
9, 18, 35
10, 19, 35
10, 20, 35
11, 20, 34
11, 21, 34
11, 22, 34
12, 23, 34
12, 24, 34
13, 24, 34
13, 25, 34
14, 26, 34
14, 27, 34
15, 28, 34
15, 29, 34
16, 30, 34
16, 31, 34
17, 33, 34
17, 34, 35
18, 35, 35
19, 36, 35
19, 37, 35
20, 39, 36
21, 40, 36
22, 42, 37
22, 43, 37
23, 44, 38
24, 46, 38
25, 48, 39
26, 49, 40
27, 51, 41
28, 53, 42
29, 54, 43
30, 56, 44
31, 58, 45
32, 60, 46
33, 61, 48
34, 63, 49
35, 65, 51
36, 67, 52
37, 69, 54
39, 71, 56
40, 72, 58
41, 74, 61
42, 76, 63
44, 78, 66
45, 79, 68
46, 81, 71
48, 83, 74
49, 84, 77
50, 85, 81
52, 86, 84
53, 88, 88
55, 88, 91
56, 89, 95
57, 90, 99
58, 90, 103
60, 90, 107
61, 90, 111
62, 90, 116
63, 89, 120
64, 88, 124
65, 87, 129
66, 86, 133
67, 84, 137
67, 82, 141
68, 80, 145
68, 77, 149
69, 74, 153
69, 71, 156
69, 68, 159
69, 64, 162
69, 61, 165
68, 57, 167
68, 53, 170
67, 49, 171
67, 45, 173
66, 40, 174
65, 36, 175
64, 32, 175
62, 28, 176
61, 24, 175
60, 20, 175
58, 16, 174
56, 12, 174
55, 9, 172
53, 6, 171
51, 2, 170
49, -1, 168
47, -3, 166
45, -6, 164
43, -8, 162
41, -10, 160
39, -12, 158
37, -14, 156
35, -16, 154
33, -17, 152
31, -18, 150
29, -19, 148
27, -20, 146
26, -21, 144
24, -22, 142
22, -23, 140
20, -23, 138
19, -24, 136
17, -24, 134
15, -24, 132
14, -25, 130
12, -25, 129
11, -25, 127
9, -25, 125
8, -25, 124
7, -25, 122
6, -25, 121
4, -25, 119
3, -25, 118
2, -25, 117
1, -25, 116
0, -25, 114
-1, -24, 113
-2, -24, 112
-3, -24, 111
-4, -24, 110
-4, -24, 109
-5, -24, 108
-6, -24, 106
-7, -24, 105
-7, -24, 105
-8, -24, 104
-9, -24, 103
-9, -24, 102
-10, -24, 101
-10, -24, 100
-11, -24, 99
-11, -24, 98
-12, -24, 98
-12, -24, 97
-13, -24, 96
-13, -24, 95
-14, -24, 95
-14, -24, 94
-14, -24, 93
-15, -25, 93
-15, -25, 92
-16, -25, 91
-16, -25, 91
-16, -25, 90
-17, -26, 90
-17, -26, 89
-17, -26, 89
-18, -26, 88
-18, -27, 88
-18, -27, 87
-19, -27, 87
-19, -28, 86
-19, -28, 86
-20, -28, 85
-20, -29, 85
-20, -29, 85
-21, -30, 84
-21, -30, 84
-21, -30, 84
-22, -31, 84
-22, -31, 83
-22, -32, 83
-23, -32, 83
-23, -33, 83
-24, -33, 83
-24, -34, 82
-24, -34, 82
-25, -35, 82
-25, -35, 82
-26, -36, 82
-26, -37, 82
-26, -37, 82
-27, -38, 82
-27, -38, 82
-28, -39, 82
-28, -40, 83
-29, -40, 83
-29, -41, 83
-29, -41, 83
-30, -42, 84
-30, -43, 84
-31, -43, 84
-31, -44, 85
-32, -45, 85
-32, -45, 86
-33, -46, 86
-33, -47, 87
-34, -47, 87
-34, -48, 88
-35, -48, 88
-35, -49, 89
-36, -50, 90
-37, -50, 91
-37, -51, 91
-38, -51, 92
-38, -52, 93
-39, -52, 94
-39, -53, 95
-40, -53, 96
-40, -53, 97
-41, -54, 98
-41, -54, 99
-42, -54, 100
-42, -55, 101
-43, -55, 102
-43, -55, 104
-44, -55, 105
-44, -55, 106
-45, -55, 107
-45, -55, 108
-45, -55, 110
-46, -55, 111
-46, -55, 112
-46, -55, 113
-47, -54, 115
-47, -54, 116
-47, -54, 117
-48, -53, 118
-48, -53, 119
-48, -52, 121
-48, -51, 122
-48, -51, 123
-48, -50, 124
-48, -49, 125
-48, -48, 126
-48, -48, 127
-48, -47, 128
-48, -46, 128
-48, -45, 129
-48, -44, 130
-48, -43, 131
-48, -42, 131
-47, -41, 132
-47, -39, 132
-47, -38, 133
-47, -37, 133
-46, -36, 133
-46, -35, 133
-45, -34, 134
-45, -33, 134
-44, -32, 134
-44, -31, 134
-43, -30, 133
-43, -29, 133
-42, -28, 133
-42, -27, 133
-41, -26, 132
-41, -25, 132
-40, -24, 132
-39, -23, 131
-39, -22, 131
-38, -21, 130
-37, -21, 129
-37, -20, 129
-36, -19, 128
